name,country,room_type,nr_nights,date,traveler_type,title_review,pos_review,neg_review,hotel_response,score
John,United Kingdom,Twin Room,5 nights ·,May 2024,Couple,Excellent stay in a city on the up.,"Excellent location. Exceptional clean hotel. Breakfast plentiful. Staff spoke excellent English, were all friendly and extremely helpful A lot of major building works going on all over the city so no real centre hence a lot of time spent by the river which is spectacular. A boat trip on the river is a must. Very easy to pick up the metro to get to the airport.",Furniture in bedroom a little old fashioned compared to modern bathroom. Mattress a little hard but that’s personal preference. Don’t let the owner’s collection of memorabilia put you off.,,8.0
Kjartansdóttir,Iceland,Superior Double Room,7 nights ·,May 2024,Family,"Very well located, beautifully decorated. something new to see on every floor. Bed not comfortable",Big bedroom and bathroom,"The mattress was very firm, too hard even. Had to take painkillers every night to be able to sleep.",,7.0
Jason,United States,Budget Double Room,3 nights ·,May 2024,Couple,An enjoyable atmosphere located close to everything that we wanted to see.,The atmosphere and the friendly staff made for an enjoyable stay.,N/a.,,8.0
Alfred,Malta,Budget Double Room,4 nights ·,May 2024,Couple,"A pleasant break with a mix of history, culture and breathtaking scenery!",Location of the hotel is close to the city centre. The room was spacious and clean. Breakfast was superb with a good variety of food and sweets.,,,9.0
Sandra,United Kingdom,Twin Room,4 nights ·,May 2024,Couple,Loved Porto and would stay in the hotel again and recommend it to friends and family,"Fantastic location in the heart of the city with loads of bars, restaurants and shops in every direction. Close to metro, buses and train station. Room was large and comfortable and on advising the staff we wouldn't make breakfast on the last day of our stay due to an early start for the airport, they said no problem, we'll deliver food to your room beforehand.",Wi-Fi was a bit hit and miss,,9.0
Margaret,United Kingdom,Budget Double Room,3 nights ·,May 2024,Couple,Hotel Review,Location and traditional style. Staff pleasant and helpful at all times. Good standard of cleanliness. throughout hotel.,Only issue was breakfast was average,,8.0
Jan,Canada,Twin Room,3 nights ·,May 2024,Couple,Very good,The location is great. The room was large and comfortable with a recently updated bathroom. The breakfast was good. I would say overall it was good value for the money compared to other properties nearby.,The wifi was spotty. It didn’t work at all for me one day although it did for my husband. I thought the breakfast was overpriced compared to other properties I stayed in in Porto. 9 euros as compared to 3 euros for a better breakfast.,,8.0
Naina,Canada,Budget Double Room,4 nights ·,April 2024,Couple,Superb,"The location of the hotel is perfect for sightseeing. All the staff were very friendly and also gave us advise for where to buy local SIM cards. There is a person at the front desk 24/7 which was the main reason why we booked the hotel as we had an early morning flight to catch on the way back from Porto. Also, the hotel has contact of a taxi company who provided discounted rates for drop off at the airport and the taxi was there in less than 5 minutes from the time the front desk placed the call. We will be definitely recommending this hotel to friends and family.",,,9.0
Ellen,United Kingdom,Basic Double Room,4 nights ·,April 2024,Group,Short break,Quirky hotel with roof terrace. Excellent location. Very comfortable,Breakfast was poor. Only had in 1st day. Plenty of cafes nearby,,8.0
Edward,United Kingdom,Budget Double Room,4 nights ·,April 2024,Couple,"Very centrally located, with many excellent restaurants nearby",Location,Nothing,,8.0
Ian,United Kingdom,Two-Bedroom Suite,1 night ·,April 2024,Group,Very good,"Location, breakfast and price.","Wifi available was poor, difficult to connect and slow.",,8.0
Issam,Spain,Budget Double Room,1 night ·,April 2024,Couple,Classic hotel but good value for the amazing location.,"Location, bed, views, price.","Be aware with lifts, very old and we got stuck 2 times",,7.0
Diane,Canada,Budget Single Room,3 nights ·,April 2024,Solo traveller,Very good,The decor,,,8.0
Ivica,Croatia,Budget Double Room,2 nights ·,April 2024,Couple,Very good,"Room, breakfast",None,,8.0
Howard,United Kingdom,Basic Double Room,2 nights ·,March 2024,Family,Enjoyed our stay. We liked the nostalgic theme and dated yet clean interiors.,Location and humorous interior best fit for families with young children.,Humorous interior best fit for families with young children. It was slightly,,7.0
German,Argentina,Budget Single Room,2 nights ·,April 2024,Solo traveller,Very good,The styling of the common areas is absolutely great. A hotel with great personality.,,,8.0
Cindy,Canada,Budget Double Room,4 nights ·,April 2024,Couple,Loved Porto. We were in a central location which was the most important criteria for us.,Location was perfect.,Breakfast included.,,8.0
Michael,United Kingdom,Deluxe Double Room with Balcony,3 nights ·,April 2024,Couple,"Perfect location in a very Retro design hotel, yet room very modern",Central location and had room high up which made it perfect as had terrace to sit out on.,Terrace bar not open until 2100 ??,,9.0
Stephanie,Morocco,Triple Room,3 nights ·,April 2024,Group,Decent hotel centrally located to all that Porto has to offer.,"Nice spacious room and bathroom. Clean towel Service everyday. Well stocked mini bar, if you should desire.",The lobby was a bit creepy and non-existent. Staff was sometimes helpful and sometimes rude. Room overlooked a courtyard of another hotel and often the breakfast noise or late night noise kept us up or woke us up.,,8.0
Marc,Canada,Budget Double Room,2 nights ·,April 2024,Couple,Good,Good location. Friendly staff. Clean.,Hotel is a bit dated. Bed was very hard and uncomfortable.,,7.0
Heitor,Brazil,Budget Double Room,1 night ·,April 2024,Couple,Superb,"Everything is nice, loved it",Nothing to complain about,,9.0
Maree,United Kingdom,Deluxe Double Room with Balcony,4 nights ·,April 2024,Couple,"Quirky hotel, good location, friendly staff","Good location, clean room, friendly staff","Nothing, all was good",,8.0
Janice,Philippines,Budget Single Room,2 nights ·,April 2024,Solo traveller,Great location.,Location. And the balcony on the 6th floor. Quirky hotel but good.,Having to leave the room keys.,,8.0
Hanh,Spain,Budget Double Room,1 night ·,March 2024,Couple,Superb,Location is perfect,I paid when I booked in booking.com but I have to pay again for the hotel when I check in and waiting the bank refund the money.,,9.0
Boris,United States,Triple Room,3 nights ·,March 2024,Family,Very good,Location is amazing,,,8.0
Casanova,Spain,Budget Single Room,1 night ·,March 2024,Solo traveller,It was great!,The hotel is super confy,,,9.0
Paula,Canada,King Room,3 nights ·,March 2024,Couple,Superb,Big room. Good breakfast,,,9.0
Libor,Czech Republic,Family Suite,2 nights ·,March 2024,Family,"great location, close to the historic centre of Porto","great location, close to the historic centre of Porto",,,8.0
Ines,Portugal,Budget Double Room,1 night ·,March 2024,Family,"Great location, nice decor, very clean.",The decor is really cool and the kids loved seeing all the vintage cars etc. The hotel was renovated faithfully to the original architecture and decor. The location is perfect,The breakfast was ok but not worth the charge.,,8.0
Anne,United Kingdom,Superior Double Room,2 nights ·,March 2024,Couple,Very good,Hotel well located to visit Porto on foot. Spacious and comfortable room. A wide range of products in the breakfast buffet And a very friendly and helpful staff.,"Although we were given a quiet room , it was impossible to sleep with the windows opened as there was a constant noise from the ventilation exhausts of a neighbourhood building. Overwhelming ambiance perfume.",,8.0
Judy,Ireland,Budget Single Room,3 nights ·,March 2024,Group,Wonderful stay. Would certainly return to the hotel on my next visit to Porto,Great location. Friendly helpful staff. Exceptionally clean and well maintained. Great value for money,"Room was a little chilly, however I stayed in early March",,9.0
Nicole,New Zealand,Budget Single Room,1 night ·,March 2024,Solo traveller,Good for one or two nights. Super central!,Friendly staff and clean bedroom,Room was extremely small. I couldn’t even open my suitcases on the floor.,,8.0
Catherine,Ireland,Quadruple Room,4 nights ·,March 2024,Group,Very good,"Staff were very helpful, food was excellent and location was very central","The shower in the bath was not very suitable for us 4 ladies as we have problems with knees, hips etc. I did request a walk in shower but we were delighted with our 4 single beds. We would recommend that a rail be put near the exit point to hold onto, also a grip mat be placed in the bath itself. But overall we were all very happy with our stay there and would highly recommend the hotel to others. Staff were very friendly and helpful and very knowledgeable of the area.",,8.0
Aydın,Luxembourg,Budget Double Room,3 nights ·,February 2024,Group,Very good,,There is no loby or sitting area for a rainy days!!!,,8.0
